Number in Figure 4	Input step	Output step	Tool suites	Corresponding RRID or biotools ID		
27	Metamicrobiome: Metabarcoding / Metagenomics / Metatranscriptomics / Metaproteomics: Differential features /  Taxonomic tables	Metabarcoding / Metagenomics: Differential features	ANCOM	RRID:SCR_024901		
27	Metamicrobiome: Metabarcoding / Metagenomics / Metatranscriptomics / Metaproteomics: Differential features /  Taxonomic tables	Metabarcoding / Metagenomics: Differential features	ALDEx2	RRID:SCR_003364		
28	Metagenomics: Taxonomic tables	Metagenomics: Diversity metrics	Krakentools	biotools:krakentools		
29	Metagenomics / Metatranscriptomics: Taxonomic tables	Metagenomics / Metatranscriptomics: Community profile visulisations	KRONA	RRID:SCR_012785		
29	Metagenomics / Metatranscriptomics: Taxonomic tables	Metagenomics / Metatranscriptomics: Community profile visulisations	GraPhlAn	RRID:SCR_016130		
29	Metagenomics / Metatranscriptomics: Taxonomic tables	Metagenomics / Metatranscriptomics: Community profile visulisations	Pavian	RRID:SCR_016679		
29	Metagenomics / Metatranscriptomics: Taxonomic tables	Metagenomics / Metatranscriptomics: Community profile visulisations	Phinch	biotools:phinch		
30	Metagenomics / Metatranscriptomics: Clean reads /  Community profile visualisations	Metagenomics / Metatranscriptomics: Feature tables	HUMAnN	RRID:SCR_014620		
30	Metagenomics / Metatranscriptomics: Clean reads /  Community profile visualisations	Metagenomics / Metatranscriptomics: Feature tables	minimap	RRID:SCR_018550		
30	Metagenomics / Metatranscriptomics: Clean reads /  Community profile visualisations	Metagenomics / Metatranscriptomics: Feature tables	BWA-MEM	RRID:SCR_022192		
30	Metagenomics / Metatranscriptomics: Clean reads /  Community profile visualisations	Metagenomics / Metatranscriptomics: Feature tables	Diamond	RRID:SCR_016071		
31	Metagenomics: Clean reads	Metagenomics: Antibiotic Resistance Genes	Groot	biotools:groot		
31	Metagenomics: Clean reads	Metagenomics: Antibiotic Resistance Genes	deepARG	biotools:deeparg		
32	Metagenomics: Clean reads	Metagenomics: Assemblies	MEGAHIT	RRID:SCR_018551		
32	Metagenomics: Clean reads	Metagenomics: Assemblies	MetaSPades	biotools:metaspades		
32	Metagenomics: Clean reads	Metagenomics: Assemblies	Flye	RRID:SCR_017016		
32	Metagenomics: Clean reads	Metagenomics: Assemblies	Unicycler	RRID:SCR_024380		
32	Metagenomics: Clean reads	Metagenomics: Assemblies	Racon	RRID:SCR_017642		
32	Metagenomics: Clean reads	Metagenomics: Assemblies	Pilon	RRID:SCR_014731		
32	Metagenomics: Clean reads	Metagenomics: Assemblies	Polypolish	biotools:polypolish		
32	Metagenomics: Clean reads	Metagenomics: Assemblies	(meta)QUAST	RRID:SCR_001228		
33	Metagenomics: Assemblies	Metagenomics: Metagenome assembled genomes	MetaBAT	RRID:SCR_019134		
33	Metagenomics: Assemblies	Metagenomics: Metagenome assembled genomes	CONCOCT	biotools:concoct		
33	Metagenomics: Assemblies	Metagenomics: Metagenome assembled genomes	MAxBin	biotools:maxbin		
33	Metagenomics: Assemblies	Metagenomics: Metagenome assembled genomes	SemiBin	biotools:semibin		
33	Metagenomics: Assemblies	Metagenomics: Metagenome assembled genomes	DASTool	biotools:dastool		
33	Metagenomics: Assemblies	Metagenomics: Metagenome assembled genomes	MetaWRAP	biotools:metawrap		
33	Metagenomics: Assemblies	Metagenomics: Metagenome assembled genomes	dRep	biotools:drep		
33	Metagenomics: Assemblies	Metagenomics: Metagenome assembled genomes	CoverM	biotools:coverm		
33	Metagenomics: Assemblies	Metagenomics: Metagenome assembled genomes	CheckM	RRID:SCR_016646		
33	Metagenomics: Assemblies	Metagenomics: Metagenome assembled genomes	Binette	biotools:binette		
34	Metagenomics: Metagenome assembled genomes	Metagenomics: Annotated gene catalog /  Reconstructed, annotated complex & unknown genomes	GTDB-Tk	RRID:SCR_019136		
34	Metagenomics: Metagenome assembled genomes	Metagenomics: Annotated gene catalog /  Reconstructed, annotated complex & unknown genomes	Contig Annotation Tool (CAT)	RRID:SCR_008421		
35	Metaproteomics: Controlled mass spectra /  Community profile visualisations	Metaproteomics: Customised database	Metanovo	biotools:metanovo		
36	Metaproteomics: Quantified microbial peptides	Metaproteomics: Taxonomic tables /  Functional tables	Unipept	RRID:SCR_024987		
37	Metaproteomics: Functional tables	Metaproteomics: Differential features /  Visualisations	MetaQuantome	biotools:metaQuantome		
